job_link,job_title,company_name,company_location,salary,job_type,rating,job_description,searched_job,searched_location
https://www.indeed.com/rc/clk?jk=5a1ba6ce91a09dd1&fccid=dce16d3eba100f4b&vjs=3,Data Scientist - Hybrid Remote,Sharecare,"Hybrid remote in New York, NY",140000,Full-time,3.9,"Demonstrated experience applying , science methods to real-world , problems.,Develop custom , models and algorithms to apply to , sets.", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=d6da3a3c21ee8d8a&fccid=4640437a3109c91f&vjs=3,Data Scientist,Dataiku Misc Postings,"Remote in New York, NY",122500,Not available,Not available,"Experience using enterprise , science tools.,An ideal candidate is excited to learn complex new technologies and modeling techniques while being able to…", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=5024c34376b16d2c&fccid=d0284a611579c21d&vjs=3,Tritura Data Scientist,Faegre Drinker,"Hybrid remote in New York, NY",187500,Full-time,3.5,"Complete , conversion, , editing, , formatting, , normalization, , analysis and , reporting.,Assess client algorithms for unintended bias.", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=a1afc7f21358eb1f&fccid=5a91fd675c45515f&vjs=3,Data Scientist,Bankers Healthcare Group,"Remote in Syracuse, NY 13204",Not available,Full-time,4.2,"Modeling experience with FCRA-regulated , (e.g., credit bureau attributes) is a plus.,Strong communication skills: written, verbal, presentation, and…", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=f5a70880e7cabda9&fccid=f46e2fd6ab3f5a72&vjs=3,Data Scientist,Wolters Kluwer,"New York, NY 10011",Not available,Full-time,3.6,"Good hands-on (1 year experience) , analytics experience developing machine learning models.,Collaborate with other , and the business teams to…", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=736233779bed8d53&fccid=f057e04c37cca134&vjs=3,Data Scientist - Global Decision Science,Amex,"New York, NY",127500,Not available,4.1,"Experience with , visualization is a plus.,Innovate with a focus on developing newer and better approaches using big , & machine learning solutions.", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=22959f53b0616424&fccid=be3b11aa573faee7&vjs=3,Data Scientist,CVS Health,"New York, NY",128087,Not available,3.2,"Duties include: design and develop , solutions using industry leading tools, technologies and best practices to profile , and develop efficient ingestion…", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=c1c546698f4f3fe4&fccid=be3b11aa573faee7&vjs=3,Sr Data Scientist,CVS Health,"New York, NY",153113,Not available,3.2,"Duties include: design and develop , solutions using industry leading tools, technologies and best practices to profile , and develop efficient ingestion…", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=4f7ba88b96dad6e4&fccid=95b1154191e232bc&vjs=3,Biomedical Data Scientist,Retia Medical,"White Plains, NY 10604",Not available,Not available,Not available,"Previous experience with time-series , analysis is a plus.,Your primary tasks will be to analyze and visualize multi-channel timeseries data.", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=d578001a36aafe2e&fccid=5f1f0e6dcc6cbc83&vjs=3,Data Scientist,Humana,"Remote in Albany, NY 12205",Not available,Full-time,3.6,"Skilled in obtaining , from multiple, disparate , sources including structured, semi-structured and unstructured data.", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=bb5761b77b2e4636&fccid=c3d0e61497689f55&vjs=3,Equity Research Associate / Data Scientist: Global Policy,Piper Sandler,"New York, NY 10174",200000,Full-time,3.9,"Entry- to associate-level financial economist/data , will assist with building and maintaining quantitative models which inform the Global Policy and…", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=a88224f19eee596c&fccid=7d7b563c6a3a9653&vjs=3,Data Scientist,NYC Careers,"Brooklyn, NY",108286,Day shift,4.0,"Which include but are not limited to a mastery in conducting , landscape analyses, identifying and documenting , sources, joining and integrating datasets…", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=1d981ce708885307&fccid=7ca1385998532a85&vjs=3,Data Scientist III,Conde Nast,"New York, NY",175000,Full-time,4.0,"Works closely with , engineers and machine learning engineers to deliver products and analyses.,Experience in one or more areas of advanced , science (NLP…", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=f65a80c8890f39a3&fccid=637c4876afb3621b&vjs=3,Data Scientist (GenerativeAI),SymphonyAI,"Remote in New York, NY 10001",Not available,Full-time,Not available,"Must have experience in , processing, analyzing and model training/testing.,You will be responsible for designing, implementing, and testing generative AI…", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=7231d31239ecf2b7&fccid=1c76c3a36f6c7557&vjs=3,GWM Americas Quantitative Analytics and Data Science Specialist,UBS,"New York, NY",100000,Full-time,3.8,"Engage in the design, enhancement, and implementation of forecasting models, tools, and analytics.,Conduct econometric and statistical analysis of times series…", Data Scientist,New York
https://www.indeed.com/rc/clk?jk=fe6e382847752143&fccid=f8ae0d540583c551&vjs=3,Data Scientist,Ntropy Network,"Remote in New York, NY",130000,Full-time,Not available,"Push the limits of what can be done with data.,Recognized open-source contributions and/or top performance in , competitions (Kaggle, Numerai, etc.).", Data Scientist,New York
